corridor,day,avg_congestion_index,max_congestion_index,total_emission_kg,pct_stretches_congested,total_daily_vehicles,peak_hour_vehicles,avg_trip_duration_min,transport_cost_burden_pct,pct_private_car,pct_moto_taxi,pct_minibus,is_weekend,day_encoded,corridor_encoded,label_congested
Mbankomo,Friday,0.010667542726812723,0.01090175115616232,0.0027142997189929987,0.22222222222222224,0.053627760252365944,0.05913978494623656,1.0,1.0,0.39730134932533745,0.0,0.0,0,4,2,0
Mbankomo,Monday,0.032837150991987064,0.028585212212622967,0.009015366796810483,0.888888888888889,0.09989484752891693,0.08870967741935484,1.0,1.0,0.39730134932533745,0.0,0.0,0,0,2,1
Mbankomo,Saturday,0.0011177319104908254,0.0032854972329736387,0.0,0.0,0.029442691903259724,0.02419354838709678,1.0,1.0,0.39730134932533745,0.0,0.0,1,5,2,0
Mbankomo,Sunday,0.4451707184448422,0.47005622775011374,0.12066694973115198,0.888888888888889,0.0,0.0,1.0,1.0,0.39730134932533745,0.0,0.0,1,6,2,1
Mbankomo,Thursday,0.0860427003798778,0.2139593430114563,0.01858971045044263,0.6666666666666666,0.07570977917981074,0.07795698924731184,1.0,1.0,0.39730134932533745,0.0,0.0,0,3,2,1
Mbankomo,Tuesday,0.028743835481946374,0.025319122980181658,0.007852092725992264,0.888888888888889,0.09779179810725554,0.08333333333333334,1.0,1.0,0.39730134932533745,0.0,0.0,0,1,2,1
Mbankomo,Wednesday,0.025673848849415835,0.022870942341602987,0.006979634755535036,0.888888888888889,0.08517350157728708,0.08602150537634409,1.0,1.0,0.39730134932533745,0.0,0.0,0,2,2,1
Mfou,Friday,0.17866340409784684,0.76252093291486,0.05348884633085707,0.1587777777777778,0.17560462670872767,0.1424731182795699,0.0,0.0,1.0000000000000002,0.1278437190900099,0.9999999999999999,0,4,1,1
Mfou,Monday,0.040404498115715455,0.06004835364704055,0.03740969704897998,0.9523333333333334,0.20609884332281808,0.15860215053763443,0.0,0.0,1.0000000000000002,0.1278437190900099,0.9999999999999999,0,0,1,1
Mfou,Saturday,0.004470927641963281,0.019696347968814115,0.015130733541889808,0.1587777777777778,0.07570977917981074,0.07795698924731184,0.0,0.0,1.0000000000000002,0.1278437190900099,0.9999999999999999,1,5,1,0
Mfou,Sunday,0.5422019318636669,1.0,0.27849142406516864,0.9523333333333334,0.049421661409043124,0.05376344086021506,0.0,0.0,1.0000000000000002,0.1278437190900099,0.9999999999999999,1,6,1,1
Mfou,Thursday,0.035948674959029085,0.05504108950969846,0.03464515042662464,0.9523333333333334,0.18296529968454261,0.1478494623655914,0.0,0.0,1.0000000000000002,0.1278437190900099,0.9999999999999999,0,3,1,1
Mfou,Tuesday,0.039883393373662306,0.05946056848806131,0.03708445797623951,0.9523333333333334,0.19348054679284965,0.14516129032258066,0.0,0.0,1.0000000000000002,0.1278437190900099,0.9999999999999999,0,1,1,1
Mfou,Wednesday,0.03778386992017279,0.05710388270913507,0.03578350168527766,0.9523333333333334,0.19137749737118825,0.1478494623655914,0.0,0.0,1.0000000000000002,0.1278437190900099,0.9999999999999999,0,2,1,1
Soa,Friday,0.0450453512170439,0.03307400547860129,0.06962383141442104,1.0,0.6361724500525762,0.5967741935483871,0.04441913439635492,0.8621553884711783,0.0,1.0,0.5638135851355468,0,4,0,1
Soa,Monday,0.16292830656063317,0.11962814270980049,0.18447355988654673,1.0,0.9999999999999999,1.0000000000000002,0.04441913439635492,0.8621553884711783,0.0,1.0,0.5638135851355468,0,0,0,1
Soa,Saturday,0.0,0.0,0.02573816281125105,0.0,0.33438485804416407,0.4946236559139785,0.04441913439635492,0.8621553884711783,0.0,1.0,0.5638135851355468,1,5,0,0
Soa,Sunday,0.9999999999999999,0.7342379309962404,0.9999999999999999,1.0,0.08727655099894847,0.04838709677419356,0.04441913439635492,0.8621553884711783,0.0,1.0,0.5638135851355468,1,6,0,1
Soa,Thursday,0.10005588659552453,0.0734648271578924,0.12322038007051651,1.0,0.907465825446898,0.8387096774193549,0.04441913439635492,0.8621553884711783,0.0,1.0,0.5638135851355468,0,3,0,1
Soa,Tuesday,0.14951174751342408,0.10977719615388881,0.1714012330685812,1.0,0.9810725552050473,0.9569892473118281,0.04441913439635492,0.8621553884711783,0.0,1.0,0.5638135851355468,0,1,0,1
Soa,Wednesday,0.14951174751342408,0.10977719615388881,0.1714012330685812,1.0,0.907465825446898,0.8387096774193549,0.04441913439635492,0.8621553884711783,0.0,1.0,0.5638135851355468,0,2,0,1
