node_id,lat,lon,degree_centrality,betweenness_centrality,closeness_centrality,street_count
418721644,3.8849081,11.5176695,0.000153,0.000538,4.4e-05,3
418721649,3.885588,11.5154529,0.000229,0.000405,4.3e-05,3
418721660,3.8719979,11.5147963,0.000153,0.212748,4.6e-05,3
418721672,3.8664595,11.5133896,0.000114,0.115492,4.6e-05,3
418721677,3.8666186,11.5132045,0.000114,0.119285,4.6e-05,3
418721683,3.8693828,11.5142618,0.000153,0.108372,4.6e-05,4
418721686,3.8657538,11.5155085,0.000114,0.123499,4.6e-05,3
418721687,3.866269,11.5156337,0.000114,0.128006,4.6e-05,3
418721689,3.8661603,11.5148217,0.000153,0.12753,4.6e-05,3
418721700,3.8657485,11.5154166,0.000114,0.123537,4.6e-05,3
418721707,3.8660643,11.5150423,0.000114,0.122138,4.6e-05,3
418721722,3.8656156,11.5152295,0.000153,0.002202,4.6e-05,3
418721729,3.8640315,11.514475,0.000114,0.000964,4.6e-05,3
418721733,3.8643166,11.5151515,0.000229,0.002171,4.6e-05,3
418721737,3.8658772,11.5151771,0.000114,0.1221,4.6e-05,3
418721740,3.8618729,11.5178769,0.000153,0.000304,4.6e-05,3
418721753,3.8595864,11.5203033,0.000229,0.103602,4.6e-05,4
418721754,3.8608191,11.5191409,0.000229,1.3e-05,4.6e-05,3
418721776,3.8609697,11.5202174,0.000114,0.048364,4.6e-05,3
418721780,3.8610018,11.5201659,0.000153,0.048434,4.6e-05,3
418721789,3.8615905,11.5202341,0.000153,0.173625,4.7e-05,4
418726364,3.8727277,11.4541661,0.000191,0.048395,3.7e-05,4
418726366,3.8726544,11.4542544,0.000114,0.034876,3.7e-05,3
418726371,3.8729966,11.461472,0.000191,0.059224,3.8e-05,4
418726381,3.8730475,11.461671,0.000153,0.04932,3.8e-05,3
418726391,3.8726128,11.4542157,0.000153,0.047407,3.7e-05,3
418726394,3.872729,11.4542289,0.000114,0.048433,3.7e-05,3
418726432,3.8726762,11.4539197,0.000153,0.065383,3.7e-05,3
418726434,3.8726442,11.4541426,0.000114,0.035731,3.7e-05,3
418777037,3.8649207,11.5134972,0.000229,0.001721,4.6e-05,3
418777048,3.8729657,11.5141974,0.000191,0.008957,4.6e-05,4
418777567,3.8664385,11.5130254,0.000114,0.115554,4.6e-05,3
418777568,3.8666012,11.5131341,0.000114,0.119247,4.6e-05,3
418777569,3.8665562,11.5133477,0.000114,0.115454,4.6e-05,3
418777570,3.8662882,11.513306,0.000114,0.116028,4.6e-05,3
418782750,3.8693707,11.4849636,0.000114,0.068071,4.2e-05,3
418782751,3.8695575,11.4853077,0.000114,0.066453,4.2e-05,3
418782752,3.8697745,11.4850082,0.000114,0.074322,4.2e-05,3
418782753,3.8697343,11.4852276,0.000114,0.07399,4.3e-05,3
418782755,3.8693905,11.4852274,0.000114,0.066491,4.2e-05,3
418782768,3.8664873,11.5130465,0.000114,0.115593,4.6e-05,3
418782769,3.8615912,11.5186496,0.000229,0.000318,4.6e-05,3
418784939,3.8714011,11.4670524,0.000153,0.057316,3.9e-05,3
418784949,3.8782257,11.5145126,0.000229,0.003176,4.5e-05,3
418784954,3.8838196,11.5115296,0.000229,0.010751,4.3e-05,3
418784957,3.8860939,11.5069023,0.000229,0.010249,4.3e-05,3
418784962,3.8834094,11.4936378,0.000153,0.005214,4.1e-05,3
