node_id,degree_centrality,betweenness_centrality,closeness_centrality,street_count
331136274,0.6357142857142856,0.795544563093244,0.8936170212765958,0.6000000000000001
331136280,0.4547619047619047,0.882982621440536,0.9787234042553192,0.4000000000000001
331136281,0.2738095238095238,0.885879048017867,0.9787234042553192,0.4000000000000001
331136285,0.18095238095238092,0.36566076912339474,1.0,0.4000000000000001
331136286,0.36428571428571427,0.00039695002791736457,0.9787234042553192,0.4000000000000001
331136293,0.4547619047619047,0.0006455890563930764,0.9574468085106385,0.4000000000000001
331137363,0.4547619047619047,0.8396016541038526,0.8936170212765958,0.4000000000000001
331137980,0.4547619047619047,0.2222353084868788,0.7446808510638298,0.4000000000000001
331137983,0.18095238095238092,0.09980894053601339,0.7659574468085107,0.4000000000000001
401774872,0.4547619047619047,0.09409896705750977,0.8510638297872342,0.4000000000000001
401774873,0.18095238095238092,0.035415794249022886,0.8297872340425533,0.4000000000000001
401774878,0.36428571428571427,0.38117671691792293,0.8297872340425533,0.4000000000000001
401774881,0.4547619047619047,0.09001169039642658,0.9787234042553192,0.6000000000000001
401774884,0.2738095238095238,0.7779173646007816,1.0,0.6000000000000001
401774897,0.4547619047619047,0.2557710427135678,0.9787234042553192,0.6000000000000001
401774905,0.4547619047619047,0.38795540201005024,0.9574468085106385,0.4000000000000001
401774907,0.4547619047619047,0.01640145170295924,0.9574468085106385,0.4000000000000001
401774912,0.4547619047619047,0.005068746510329424,0.9361702127659576,0.4000000000000001
401774918,0.4547619047619047,0.0015878001116694583,0.9361702127659576,0.4000000000000001
401774920,0.4547619047619047,0.0022682858738135117,0.9361702127659576,0.4000000000000001
401774931,0.36428571428571427,0.3683434533780011,0.9361702127659576,0.4000000000000001
401774933,0.4547619047619047,0.006564942769402568,0.9148936170212767,0.4000000000000001
401774939,0.4547619047619047,0.005605283361250697,0.9148936170212767,0.4000000000000001
401774941,0.4547619047619047,0.005452610273590173,0.9148936170212767,0.4000000000000001
401774950,0.6357142857142856,0.06759928112786152,0.9361702127659576,0.6000000000000001
401774976,0.4547619047619047,0.05895362227805694,0.9148936170212767,0.4000000000000001
401774982,0.4547619047619047,0.05694269960915689,0.8936170212765958,0.4000000000000001
401774990,0.4547619047619047,0.05563843523171413,0.8936170212765958,0.4000000000000001
401774993,0.4547619047619047,0.05500157035175879,0.8936170212765958,0.6000000000000001
401775019,0.18095238095238092,0.5585392238972641,1.0,0.4000000000000001
401775024,0.18095238095238092,0.5314419318816304,0.9787234042553192,0.4000000000000001
401775025,0.18095238095238092,0.5312761725293131,0.9787234042553192,0.4000000000000001
401775052,0.4547619047619047,3.053461753210497e-05,0.9787234042553192,0.4000000000000001
401775056,0.2738095238095238,0.545884805974316,0.9787234042553192,0.4000000000000001
401775067,0.4547619047619047,0.0028397194304857617,0.9787234042553192,0.4000000000000001
401775068,0.4547619047619047,0.007533326353992183,0.9787234042553192,0.4000000000000001
401775070,0.2738095238095238,0.008091673646007817,0.9787234042553192,0.4000000000000001
401775090,0.4547619047619047,0.00041439838079285315,0.9574468085106385,0.4000000000000001
401786822,0.2738095238095238,0.016698073701842543,0.9787234042553192,0.4000000000000001
401786824,0.4547619047619047,0.007245428531546621,0.9574468085106385,0.4000000000000001
401786828,0.18095238095238092,0.4929465033500837,0.9787234042553192,0.4000000000000001
401786864,0.2738095238095238,0.25962276661083195,0.8510638297872342,0.4000000000000001
